order_id,customer_age,region,membership,channel,category,price,quantity,amount,grade_apply,grade_vec,membership_score,age_next_year_apply,age_next_year_vec,region_clean,membership_clean,channel_clean,membership_ord,ch_app,ch_web,ch_app.1,ch_web.1,quantity_mm,quantity_robust,amount_log
O01040,32.0,서울,gold,app,가전,129900.0,3,389700.0,high,high,3.0,33.0,33.0,서울,gold,app,3,1,0,1,0,0.0253164556962025,2.0,12.873135057399978
O01156,40.0,부산,basic,web,가전,129900.0,3,389700.0,high,high,1.0,41.0,41.0,부산,basic,web,1,0,1,0,1,0.0253164556962025,2.0,12.873135057399978
O00779,53.0,부산,silver,app,뷰티,129900.0,3,389700.0,high,high,2.0,54.0,54.0,부산,silver,app,2,1,0,1,0,0.0253164556962025,2.0,12.873135057399978
O00191,29.0,서울,basic,web,식품,129900.0,3,389700.0,high,high,1.0,30.0,30.0,서울,basic,web,1,0,1,0,1,0.0253164556962025,2.0,12.873135057399978
O00677,34.0,서울,basic,web,가전,129900.0,3,389700.0,high,high,1.0,35.0,35.0,서울,basic,web,1,0,1,0,1,0.0253164556962025,2.0,12.873135057399978
O00662,48.0,대구,silver,app,도서,129900.0,3,389700.0,high,high,2.0,49.0,49.0,대구,silver,app,2,1,0,1,0,0.0253164556962025,2.0,12.873135057399978
O00008,34.0,인천,silver,web,패션,129900.0,3,389700.0,high,high,2.0,35.0,35.0,인천,silver,web,2,0,1,0,1,0.0253164556962025,2.0,12.873135057399978
O01286,30.0,경기,basic,app,패션,129900.0,3,389700.0,high,high,1.0,31.0,31.0,경기,basic,app,1,1,0,1,0,0.0253164556962025,2.0,12.873135057399978
O01069,36.0,서울,gold,app,식품,129900.0,3,389700.0,high,high,3.0,37.0,37.0,서울,gold,app,3,1,0,1,0,0.0253164556962025,2.0,12.873135057399978
O00407,34.0,서울,vip,app,도서,129900.0,3,389700.0,high,high,4.0,35.0,35.0,서울,vip,app,4,1,0,1,0,0.0253164556962025,2.0,12.873135057399978
O01448,40.0,인천,silver,app,도서,129900.0,3,389700.0,high,high,2.0,41.0,41.0,인천,silver,app,2,1,0,1,0,0.0253164556962025,2.0,12.873135057399978
O01406,44.0,경기,basic,app,도서,129900.0,3,389700.0,high,high,1.0,45.0,45.0,경기,basic,app,1,1,0,1,0,0.0253164556962025,2.0,12.873135057399978
O00155,31.0,대구,basic,web,도서,129900.0,3,389700.0,high,high,1.0,32.0,32.0,대구,basic,web,1,0,1,0,1,0.0253164556962025,2.0,12.873135057399978
O00058,21.0,서울,basic,web,뷰티,129900.0,3,389700.0,high,high,1.0,22.0,22.0,서울,basic,web,1,0,1,0,1,0.0253164556962025,2.0,12.873135057399978
O00535,35.0,부산,silver,web,식품,129900.0,3,389700.0,high,high,2.0,36.0,36.0,부산,silver,web,2,0,1,0,1,0.0253164556962025,2.0,12.873135057399978
O01245,31.0,부산,silver,web,도서,89900.0,3,269700.0,high,high,2.0,32.0,32.0,부산,silver,web,2,0,1,0,1,0.0253164556962025,2.0,12.505069216944454
O00809,26.0,경기,basic,web,가전,89900.0,3,269700.0,high,high,1.0,27.0,27.0,경기,basic,web,1,0,1,0,1,0.0253164556962025,2.0,12.505069216944454
O00177,27.0,부산,basic,app,식품,89900.0,3,269700.0,high,high,1.0,28.0,28.0,부산,basic,app,1,1,0,1,0,0.0253164556962025,2.0,12.505069216944454
O00068,19.0,인천,basic,APP,도서,89900.0,3,269700.0,high,high,1.0,20.0,20.0,인천,basic,app,1,1,0,1,0,0.0253164556962025,2.0,12.505069216944454
O00273,37.0,인천,gold,app,패션,89900.0,3,269700.0,high,high,3.0,38.0,38.0,인천,gold,app,3,1,0,1,0,0.0253164556962025,2.0,12.505069216944454
O00707,40.0,서울,basic,app,패션,89900.0,3,269700.0,high,high,1.0,41.0,41.0,서울,basic,app,1,1,0,1,0,0.0253164556962025,2.0,12.505069216944454
O00705,34.0,서울,silver,app ,뷰티,89900.0,3,269700.0,high,high,2.0,35.0,35.0,서울,silver,app,2,1,0,1,0,0.0253164556962025,2.0,12.505069216944454
O01339,29.0,서울,gold,web,식품,89900.0,3,269700.0,high,high,3.0,30.0,30.0,서울,gold,web,3,0,1,0,1,0.0253164556962025,2.0,12.505069216944454
O00598,38.0,서울,silver,app,뷰티,89900.0,3,269700.0,high,high,2.0,39.0,39.0,서울,silver,app,2,1,0,1,0,0.0253164556962025,2.0,12.505069216944454
O00172,41.0,서울,gold,web,도서,89900.0,3,269700.0,high,high,3.0,42.0,42.0,서울,gold,web,3,0,1,0,1,0.0253164556962025,2.0,12.505069216944454
O00562,43.0,서울,silver,app,가전,89900.0,3,269700.0,high,high,2.0,44.0,44.0,서울,silver,app,2,1,0,1,0,0.0253164556962025,2.0,12.505069216944454
O00816,47.0,경기,basic,app,식품,89900.0,3,269700.0,high,high,1.0,48.0,48.0,경기,basic,app,1,1,0,1,0,0.0253164556962025,2.0,12.505069216944454
O01427,50.0,서울,gold,web,패션,89900.0,3,269700.0,high,high,3.0,51.0,51.0,서울,gold,web,3,0,1,0,1,0.0253164556962025,2.0,12.505069216944454
O01258,39.0,경기,gold,web,가전,89900.0,3,269700.0,high,high,3.0,40.0,40.0,경기,gold,web,3,0,1,0,1,0.0253164556962025,2.0,12.505069216944454
O01270,41.0,서울,silver,app ,패션,89900.0,3,269700.0,high,high,2.0,42.0,42.0,서울,silver,app,2,1,0,1,0,0.0253164556962025,2.0,12.505069216944454
O01459,38.0,서울,basic,web,도서,89900.0,3,269700.0,high,high,1.0,39.0,39.0,서울,basic,web,1,0,1,0,1,0.0253164556962025,2.0,12.505069216944454
O00180,34.0,서울,silver,app,패션,89900.0,3,269700.0,high,high,2.0,35.0,35.0,서울,silver,app,2,1,0,1,0,0.0253164556962025,2.0,12.505069216944454
O01018,46.0,경기,basic,app,가전,89900.0,3,269700.0,high,high,1.0,47.0,47.0,경기,basic,app,1,1,0,1,0,0.0253164556962025,2.0,12.505069216944454
O01047,47.0,서울,basic,web,도서,89900.0,3,269700.0,high,high,1.0,48.0,48.0,서울,basic,web,1,0,1,0,1,0.0253164556962025,2.0,12.505069216944454
O01026,26.0,경기,basic,app,식품,89900.0,3,269700.0,high,high,1.0,27.0,27.0,경기,basic,app,1,1,0,1,0,0.0253164556962025,2.0,12.505069216944454
O00986,36.0,경기,vip,app ,패션,89900.0,3,269700.0,high,high,4.0,37.0,37.0,경기,vip,app,4,1,0,1,0,0.0253164556962025,2.0,12.505069216944454
O00884,25.0,서울,basic,web,패션,89900.0,3,269700.0,high,high,1.0,26.0,26.0,서울,basic,web,1,0,1,0,1,0.0253164556962025,2.0,12.505069216944454
O00509,34.0,대구,basic,app,패션,129900.0,2,259800.0,high,high,1.0,35.0,35.0,대구,basic,app,1,1,0,1,0,0.0126582278481012,1.0,12.467671232325932
O00575,45.0,인천,gold,app,도서,129900.0,2,259800.0,high,high,3.0,46.0,46.0,인천,gold,app,3,1,0,1,0,0.0126582278481012,1.0,12.467671232325932
O01010,35.0,경기,gold,web,뷰티,129900.0,2,259800.0,high,high,3.0,36.0,36.0,경기,gold,web,3,0,1,0,1,0.0126582278481012,1.0,12.467671232325932
O00676,26.0,대구,gold,web,패션,129900.0,2,259800.0,high,high,3.0,27.0,27.0,대구,gold,web,3,0,1,0,1,0.0126582278481012,1.0,12.467671232325932
O00374,31.0,부산,gold,app,패션,129900.0,2,259800.0,high,high,3.0,32.0,32.0,부산,gold,app,3,1,0,1,0,0.0126582278481012,1.0,12.467671232325932
O01137,19.0,인천,vip,app,가전,129900.0,2,259800.0,high,high,4.0,20.0,20.0,인천,vip,app,4,1,0,1,0,0.0126582278481012,1.0,12.467671232325932
O01356,35.0,인천,silver,app,식품,129900.0,2,259800.0,high,high,2.0,36.0,36.0,인천,silver,app,2,1,0,1,0,0.0126582278481012,1.0,12.467671232325932
O00863,25.0,경기,basic,web,패션,129900.0,2,259800.0,high,high,1.0,26.0,26.0,경기,basic,web,1,0,1,0,1,0.0126582278481012,1.0,12.467671232325932
O01165,36.0,서울,silver,app,식품,129900.0,2,259800.0,high,high,2.0,37.0,37.0,서울,silver,app,2,1,0,1,0,0.0126582278481012,1.0,12.467671232325932
O00033,48.0,서울,silver,app,뷰티,129900.0,2,259800.0,high,high,2.0,49.0,49.0,서울,silver,app,2,1,0,1,0,0.0126582278481012,1.0,12.467671232325932
O00880,28.0,서울,gold,web,뷰티,129900.0,2,259800.0,high,high,3.0,29.0,29.0,서울,gold,web,3,0,1,0,1,0.0126582278481012,1.0,12.467671232325932
O00097,25.0,경기,basic,APP,도서,129900.0,2,259800.0,high,high,1.0,26.0,26.0,경기,basic,app,1,1,0,1,0,0.0126582278481012,1.0,12.467671232325932
O01196,29.0,인천,silver,web,패션,129900.0,2,259800.0,high,high,2.0,30.0,30.0,인천,silver,web,2,0,1,0,1,0.0126582278481012,1.0,12.467671232325932
O01348,37.0,서울,basic,app,패션,129900.0,2,259800.0,high,high,1.0,38.0,38.0,서울,basic,app,1,1,0,1,0,0.0126582278481012,1.0,12.467671232325932
O01144,29.0,경기,silver,app,도서,129900.0,2,259800.0,high,high,2.0,30.0,30.0,경기,silver,app,2,1,0,1,0,0.0126582278481012,1.0,12.467671232325932
O01298,36.0,서울,silver,web,패션,129900.0,2,259800.0,high,high,2.0,37.0,37.0,서울,silver,web,2,0,1,0,1,0.0126582278481012,1.0,12.467671232325932
O00453,15.0,경기,silver,app,뷰티,129900.0,2,259800.0,high,high,2.0,16.0,16.0,경기,silver,app,2,1,0,1,0,0.0126582278481012,1.0,12.467671232325932
O01155,41.0,경기,gold,web,가전,129900.0,2,259800.0,high,high,3.0,42.0,42.0,경기,gold,web,3,0,1,0,1,0.0126582278481012,1.0,12.467671232325932
O01294,27.0,부산,basic,app ,뷰티,129900.0,2,259800.0,high,high,1.0,28.0,28.0,부산,basic,app,1,1,0,1,0,0.0126582278481012,1.0,12.467671232325932
O00073,31.0,서울,silver,web,식품,129900.0,2,259800.0,high,high,2.0,32.0,32.0,서울,silver,web,2,0,1,0,1,0.0126582278481012,1.0,12.467671232325932
O00811,33.0,대구,silver,app,패션,129900.0,2,259800.0,high,high,2.0,34.0,34.0,대구,silver,app,2,1,0,1,0,0.0126582278481012,1.0,12.467671232325932
O00279,37.0,부산,basic,web,도서,129900.0,2,259800.0,high,high,1.0,38.0,38.0,부산,basic,web,1,0,1,0,1,0.0126582278481012,1.0,12.467671232325932
O00215,37.0,부산,basic,web,가전,129900.0,2,259800.0,high,high,1.0,38.0,38.0,부산,basic,web,1,0,1,0,1,0.0126582278481012,1.0,12.467671232325932
O00713,42.0,경기,basic,app,도서,129900.0,2,259800.0,high,high,1.0,43.0,43.0,경기,basic,app,1,1,0,1,0,0.0126582278481012,1.0,12.467671232325932
O00265,35.0,인천,basic,app,도서,129900.0,2,259800.0,high,high,1.0,36.0,36.0,인천,basic,app,1,1,0,1,0,0.0126582278481012,1.0,12.467671232325932
O00835,42.0,경기,basic,web,가전,129900.0,2,259800.0,high,high,1.0,43.0,43.0,경기,basic,web,1,0,1,0,1,0.0126582278481012,1.0,12.467671232325932
O00013,34.0,인천,vip,web,식품,129900.0,80,259800.0,high,high,4.0,35.0,35.0,인천,vip,web,4,0,1,0,1,1.0,79.0,12.467671232325932
O00766,30.0,경기,silver,web,뷰티,129900.0,2,259800.0,high,high,2.0,31.0,31.0,경기,silver,web,2,0,1,0,1,0.0126582278481012,1.0,12.467671232325932
O01415,29.0,경기,basic,web,도서,129900.0,2,259800.0,high,high,1.0,30.0,30.0,경기,basic,web,1,0,1,0,1,0.0126582278481012,1.0,12.467671232325932
O00758,41.0,경기,basic,web,뷰티,129900.0,2,259800.0,high,high,1.0,42.0,42.0,경기,basic,web,1,0,1,0,1,0.0126582278481012,1.0,12.467671232325932
O01424,59.0,서울,basic,app,패션,129900.0,2,259800.0,high,high,1.0,60.0,60.0,서울,basic,app,1,1,0,1,0,0.0126582278481012,1.0,12.467671232325932
O01395,41.0,서울,basic,app ,뷰티,129900.0,2,259800.0,high,high,1.0,42.0,42.0,서울,basic,app,1,1,0,1,0,0.0126582278481012,1.0,12.467671232325932
O00471,25.0,서울,basic,web,뷰티,249900.0,1,249900.0,high,high,1.0,26.0,26.0,서울,basic,web,1,0,1,0,1,0.0,0.0,12.428820118415677
O00309,21.0,부산,basic,web,도서,249900.0,1,249900.0,high,high,1.0,22.0,22.0,부산,basic,web,1,0,1,0,1,0.0,0.0,12.428820118415677
O01456,41.0,대구,silver,web,식품,249900.0,1,249900.0,high,high,2.0,42.0,42.0,대구,silver,web,2,0,1,0,1,0.0,0.0,12.428820118415677
O01070,22.0,서울,vip,app,패션,249900.0,1,249900.0,high,high,4.0,23.0,23.0,서울,vip,app,4,1,0,1,0,0.0,0.0,12.428820118415677
O01331,49.0,경기,basic,web,가전,249900.0,1,249900.0,high,high,1.0,50.0,50.0,경기,basic,web,1,0,1,0,1,0.0,0.0,12.428820118415677
O00421,30.0,부산,silver,app,식품,249900.0,1,249900.0,high,high,2.0,31.0,31.0,부산,silver,app,2,1,0,1,0,0.0,0.0,12.428820118415677
O01052,16.0,경기,basic,app,뷰티,249900.0,1,249900.0,high,high,1.0,17.0,17.0,경기,basic,app,1,1,0,1,0,0.0,0.0,12.428820118415677
O00134,31.0,서울,gold,app,가전,249900.0,1,249900.0,high,high,3.0,32.0,32.0,서울,gold,app,3,1,0,1,0,0.0,0.0,12.428820118415677
O00427,28.0,경기,silver,app,패션,249900.0,1,249900.0,high,high,2.0,29.0,29.0,경기,silver,app,2,1,0,1,0,0.0,0.0,12.428820118415677
O01126,46.0,경기,vip,app,가전,249900.0,1,249900.0,high,high,4.0,47.0,47.0,경기,vip,app,4,1,0,1,0,0.0,0.0,12.428820118415677
O00248,26.0,대구,basic,web,도서,249900.0,1,249900.0,high,high,1.0,27.0,27.0,대구,basic,web,1,0,1,0,1,0.0,0.0,12.428820118415677
O01127,34.0,서울,basic,app,식품,249900.0,1,249900.0,high,high,1.0,35.0,35.0,서울,basic,app,1,1,0,1,0,0.0,0.0,12.428820118415677
O00286,36.0,서울,gold,web,가전,249900.0,1,249900.0,high,high,3.0,37.0,37.0,서울,gold,web,3,0,1,0,1,0.0,0.0,12.428820118415677
O00822,44.0,서울,silver,web,가전,249900.0,1,249900.0,high,high,2.0,45.0,45.0,서울,silver,web,2,0,1,0,1,0.0,0.0,12.428820118415677
O00092,49.0,부산,vip,APP,식품,249900.0,1,249900.0,high,high,4.0,50.0,50.0,부산,vip,app,4,1,0,1,0,0.0,0.0,12.428820118415677
O00102,34.0,경기,basic,app,뷰티,249900.0,1,249900.0,high,high,1.0,35.0,35.0,경기,basic,app,1,1,0,1,0,0.0,0.0,12.428820118415677
O01480,40.0,경기,vip,app,가전,249900.0,1,249900.0,high,high,4.0,41.0,41.0,경기,vip,app,4,1,0,1,0,0.0,0.0,12.428820118415677
O00846,17.0,경기,silver,app,가전,249900.0,1,249900.0,high,high,2.0,18.0,18.0,경기,silver,app,2,1,0,1,0,0.0,0.0,12.428820118415677
O00047,42.0,서울,gold,web,가전,249900.0,1,249900.0,high,high,3.0,43.0,43.0,서울,gold,web,3,0,1,0,1,0.0,0.0,12.428820118415677
O00051,31.0,대구,vip,web,도서,249900.0,1,249900.0,high,high,4.0,32.0,32.0,대구,vip,web,4,0,1,0,1,0.0,0.0,12.428820118415677
O00651,18.0,서울,basic,app,패션,249900.0,1,249900.0,high,high,1.0,19.0,19.0,서울,basic,app,1,1,0,1,0,0.0,0.0,12.428820118415677
O00052,40.0,부산,silver,web,도서,249900.0,1,249900.0,high,high,2.0,41.0,41.0,부산,silver,web,2,0,1,0,1,0.0,0.0,12.428820118415677
O00101,29.0,서울,basic,web,도서,249900.0,1,249900.0,high,high,1.0,30.0,30.0,서울,basic,web,1,0,1,0,1,0.0,0.0,12.428820118415677
O00750,18.0,경기,basic,app,가전,249900.0,1,249900.0,high,high,1.0,19.0,19.0,경기,basic,app,1,1,0,1,0,0.0,0.0,12.428820118415677
O00592,48.0,경기,vip,web,뷰티,249900.0,1,249900.0,high,high,4.0,49.0,49.0,경기,vip,web,4,0,1,0,1,0.0,0.0,12.428820118415677
O00755,28.0,서울,gold,web,식품,249900.0,1,249900.0,high,high,3.0,29.0,29.0,서울,gold,web,3,0,1,0,1,0.0,0.0,12.428820118415677
O00682,33.0,서울,basic,web,가전,249900.0,1,249900.0,high,high,1.0,34.0,34.0,서울,basic,web,1,0,1,0,1,0.0,0.0,12.428820118415677
O01215,40.0,부산,basic,app,패션,249900.0,1,249900.0,high,high,1.0,41.0,41.0,부산,basic,app,1,1,0,1,0,0.0,0.0,12.428820118415677
O00570,23.0,서울,basic,app,도서,249900.0,1,249900.0,high,high,1.0,24.0,24.0,서울,basic,app,1,1,0,1,0,0.0,0.0,12.428820118415677
O00111,41.0,서울,gold,app,식품,249900.0,1,249900.0,high,high,3.0,42.0,42.0,서울,gold,app,3,1,0,1,0,0.0,0.0,12.428820118415677
O00829,36.0,부산,silver,app,도서,249900.0,1,249900.0,high,high,2.0,37.0,37.0,부산,silver,app,2,1,0,1,0,0.0,0.0,12.428820118415677
O00798,45.0,경기,basic,web,도서,249900.0,1,249900.0,high,high,1.0,46.0,46.0,경기,basic,web,1,0,1,0,1,0.0,0.0,12.428820118415677
O00833,54.0,서울,silver,app,식품,89900.0,2,179800.0,high,high,2.0,55.0,55.0,서울,silver,app,2,1,0,1,0,0.0126582278481012,1.0,12.099605962739451
O00314,31.0,대구,basic,web,뷰티,89900.0,2,179800.0,high,high,1.0,32.0,32.0,대구,basic,web,1,0,1,0,1,0.0126582278481012,1.0,12.099605962739451
O00683,24.0,서울,basic,app,도서,89900.0,2,179800.0,high,high,1.0,25.0,25.0,서울,basic,app,1,1,0,1,0,0.0126582278481012,1.0,12.099605962739451
O00293,31.0,인천,silver,web,패션,89900.0,2,179800.0,high,high,2.0,32.0,32.0,인천,silver,web,2,0,1,0,1,0.0126582278481012,1.0,12.099605962739451
O01244,37.0,인천,basic,web,가전,89900.0,2,179800.0,high,high,1.0,38.0,38.0,인천,basic,web,1,0,1,0,1,0.0126582278481012,1.0,12.099605962739451
O00703,32.0,서울,basic,web,가전,89900.0,2,179800.0,high,high,1.0,33.0,33.0,서울,basic,web,1,0,1,0,1,0.0126582278481012,1.0,12.099605962739451
O01089,20.0,대구,basic,app,패션,89900.0,2,179800.0,high,high,1.0,21.0,21.0,대구,basic,app,1,1,0,1,0,0.0126582278481012,1.0,12.099605962739451
O00831,41.0,서울,basic,web,식품,89900.0,2,179800.0,high,high,1.0,42.0,42.0,서울,basic,web,1,0,1,0,1,0.0126582278481012,1.0,12.099605962739451
O01412,9.0,서울,basic,web,패션,89900.0,2,179800.0,high,high,1.0,10.0,10.0,서울,basic,web,1,0,1,0,1,0.0126582278481012,1.0,12.099605962739451
O01400,32.0,부산,basic,web,패션,89900.0,2,179800.0,high,high,1.0,33.0,33.0,부산,basic,web,1,0,1,0,1,0.0126582278481012,1.0,12.099605962739451
O00269,42.0,서울,basic,app,도서,89900.0,2,179800.0,high,high,1.0,43.0,43.0,서울,basic,app,1,1,0,1,0,0.0126582278481012,1.0,12.099605962739451
O00716,29.0,대구,basic,web,식품,89900.0,2,179800.0,high,high,1.0,30.0,30.0,대구,basic,web,1,0,1,0,1,0.0126582278481012,1.0,12.099605962739451
O00841,43.0,서울,gold,app,뷰티,89900.0,2,179800.0,high,high,3.0,44.0,44.0,서울,gold,app,3,1,0,1,0,0.0126582278481012,1.0,12.099605962739451
O00754,39.0,서울,gold,app,패션,89900.0,2,179800.0,high,high,3.0,40.0,40.0,서울,gold,app,3,1,0,1,0,0.0126582278481012,1.0,12.099605962739451
O00247,25.0,경기,basic,app,도서,89900.0,2,179800.0,high,high,1.0,26.0,26.0,경기,basic,app,1,1,0,1,0,0.0126582278481012,1.0,12.099605962739451
O00775,36.0,부산,vip,app,패션,89900.0,2,179800.0,high,high,4.0,37.0,37.0,부산,vip,app,4,1,0,1,0,0.0126582278481012,1.0,12.099605962739451
O00953,46.0,서울,silver,APP,도서,89900.0,2,179800.0,high,high,2.0,47.0,47.0,서울,silver,app,2,1,0,1,0,0.0126582278481012,1.0,12.099605962739451
O01252,30.0,경기,silver,web,도서,89900.0,2,179800.0,high,high,2.0,31.0,31.0,경기,silver,web,2,0,1,0,1,0.0126582278481012,1.0,12.099605962739451
O00325,36.0,대구,silver,app,가전,89900.0,2,179800.0,high,high,2.0,37.0,37.0,대구,silver,app,2,1,0,1,0,0.0126582278481012,1.0,12.099605962739451
O00330,35.0,서울,basic,app,뷰티,89900.0,2,179800.0,high,high,1.0,36.0,36.0,서울,basic,app,1,1,0,1,0,0.0126582278481012,1.0,12.099605962739451
O01287,47.0,서울,vip,app,뷰티,89900.0,2,179800.0,high,high,4.0,48.0,48.0,서울,vip,app,4,1,0,1,0,0.0126582278481012,1.0,12.099605962739451
O00543,37.0,서울,silver,web,가전,89900.0,2,179800.0,high,high,2.0,38.0,38.0,서울,silver,web,2,0,1,0,1,0.0126582278481012,1.0,12.099605962739451
O01199,41.0,부산,gold,web,식품,89900.0,2,179800.0,high,high,3.0,42.0,42.0,부산,gold,web,3,0,1,0,1,0.0126582278481012,1.0,12.099605962739451
O00975,42.0,서울,silver,web,도서,89900.0,2,179800.0,high,high,2.0,43.0,43.0,서울,silver,web,2,0,1,0,1,0.0126582278481012,1.0,12.099605962739451
O00568,22.0,경기,basic,app,뷰티,89900.0,2,179800.0,high,high,1.0,23.0,23.0,경기,basic,app,1,1,0,1,0,0.0126582278481012,1.0,12.099605962739451
O00501,31.0,부산,basic,web,도서,89900.0,2,179800.0,high,high,1.0,32.0,32.0,부산,basic,web,1,0,1,0,1,0.0126582278481012,1.0,12.099605962739451
O00914,55.0,경기,basic,APP,가전,89900.0,2,179800.0,high,high,1.0,56.0,56.0,경기,basic,app,1,1,0,1,0,0.0126582278481012,1.0,12.099605962739451
O01281,40.0,경기,basic,web,패션,89900.0,2,179800.0,high,high,1.0,41.0,41.0,경기,basic,web,1,0,1,0,1,0.0126582278481012,1.0,12.099605962739451
O00582,35.0,대구,basic,app,뷰티,89900.0,2,179800.0,high,high,1.0,36.0,36.0,대구,basic,app,1,1,0,1,0,0.0126582278481012,1.0,12.099605962739451
O00463,24.0,부산,gold,app,뷰티,89900.0,2,179800.0,high,high,3.0,25.0,25.0,부산,gold,app,3,1,0,1,0,0.0126582278481012,1.0,12.099605962739451
O00447,30.0,대구,basic,app,뷰티,89900.0,2,179800.0,high,high,1.0,31.0,31.0,대구,basic,app,1,1,0,1,0,0.0126582278481012,1.0,12.099605962739451
O00897,48.0,서울,basic,web,뷰티,89900.0,2,179800.0,high,high,1.0,49.0,49.0,서울,basic,web,1,0,1,0,1,0.0126582278481012,1.0,12.099605962739451
O00443,44.0,서울,gold,web,도서,89900.0,2,179800.0,high,high,3.0,45.0,45.0,서울,gold,web,3,0,1,0,1,0.0126582278481012,1.0,12.099605962739451
O00428,35.0,인천,basic,app,도서,89900.0,2,179800.0,high,high,1.0,36.0,36.0,인천,basic,app,1,1,0,1,0,0.0126582278481012,1.0,12.099605962739451
O01178,38.0,서울,basic,app,식품,89900.0,2,179800.0,high,high,1.0,39.0,39.0,서울,basic,app,1,1,0,1,0,0.0126582278481012,1.0,12.099605962739451
O00613,29.0,경기,basic,web,가전,89900.0,2,179800.0,high,high,1.0,30.0,30.0,경기,basic,web,1,0,1,0,1,0.0126582278481012,1.0,12.099605962739451
O00979,41.0,경기,basic,web,뷰티,89900.0,2,179800.0,high,high,1.0,42.0,42.0,경기,basic,web,1,0,1,0,1,0.0126582278481012,1.0,12.099605962739451
O00401,31.0,서울,silver,web,패션,89900.0,2,179800.0,high,high,2.0,32.0,32.0,서울,silver,web,2,0,1,0,1,0.0126582278481012,1.0,12.099605962739451
O01002,42.0,경기,gold,app,도서,89900.0,2,179800.0,high,high,3.0,43.0,43.0,경기,gold,app,3,1,0,1,0,0.0126582278481012,1.0,12.099605962739451
